0x16c,Turn the vibration ON / OFF.,Turn the vibration ON / OFF.
0x189,Select radar type.,Select radar type.
0x19c,Turn blood display ON / OFF.,Turn blood display ON / OFF.
0x1b9,Select STEREO / MONAURAL sound.,Select STEREO / MONAURAL sound.
0x1d9,Certain cut scenes will be in Dolby Digital 5.1.,Certain cut scenes will be in Dolby Digital 5.1.
0x20a,Turn the captions ON / OFF.,Turn the captions ON / OFF.
0x226,Select First Person View control type.,Select First Person View control type.
0x24d,Select item display type.,Select item display type.
0x267,Select quick change type.,Select quick change type.
0x281,Adjust screen position.,Adjust screen position.
0x299,Display color adjustment screen.,Display color adjustment screen.
0x2ba,Return to previous screen.,Return to previous screen.
0x2d5,"Adjust the monitor brightness|
so that the gray scale under|
the red line is no longer seen|
to obtain optimal brightness|
for this game.","Adjust the monitor brightness|
so that the gray scale under|
the red line is no longer seen|
to obtain optimal brightness|
for this game."
0x35f,Mettre la vibration sur ON / OFF.,Mettre la vibration sur ON / OFF.
0x381,Choisir le type de radar.,Choisir le type de radar.
0x39b,Mettre l'affichage du sang sur ON / OFF.,Mettre l'affichage du sang sur ON / OFF.
0x3c4,Choisir entre le son STEREO et MONO.,Choisir entre le son STEREO et MONO.
0x3e9,Certaines séquences vidéos seront en Dolby Digital 5.1.,Certaines séquences vidéos seront en Dolby Digital 5.1.
0x423,Mettre les sous-titres sur ON / OFF.,Mettre les sous-titres sur ON / OFF.
0x448,Choisir l'Observation à la première personne.,Choisir l'Observation à la première personne.
0x478,Choisir l'affichage des objets.,Choisir l'affichage des objets.
0x498,Choisir les changements rapides.,Choisir les changements rapides.
0x4b9,Régler la position de l'écran.,Régler la position de l'écran.
0x4da,Afficher l'écran de réglage des couleurs.,Afficher l'écran de réglage des couleurs.
0x506,Retourner dans l'écran précédent.,Retourner dans l'écran précédent.
0x52b,"Afin d'obtenir la luminosité|
optimale pour ce jeu, réglez la|
luminosité du moniteur de manière|
à rendre invisible l'échelle de gris|
située sous la ligne rouge.","Afin d'obtenir la luminosité|
optimale pour ce jeu, réglez la|
luminosité du moniteur de manière|
à rendre invisible l'échelle de gris|
située sous la ligne rouge."
0x5d6,Vibration EIN / AUS.,Vibration EIN / AUS.
0x5eb,Radartyp wählen.,Radartyp wählen.
0x5fd,Blutanzeige EIN / AUS.,Blutanzeige EIN / AUS.
0x614,Wählen Sie STEREO / MONO.,Wählen Sie STEREO / MONO.
0x62f,Bestimmte Szenen sind in Dolby Digital 5.1.,Bestimmte Szenen sind in Dolby Digital 5.1.
0x65b,Untertitel EIN / AUS.,Untertitel EIN / AUS.
0x671,Beobachtungsperspektive wählen.,Beobachtungsperspektive wählen.
0x692,Displaytyp wählen.,Displaytyp wählen.
0x6a6,Schnellwechseltyp wählen.,Schnellwechseltyp wählen.
0x6c1,Bildschirmposition regulieren.,Bildschirmposition regulieren.
0x6e0,Farbregulierungsbildschirm einblenden.,Farbregulierungsbildschirm einblenden.
0x707,Zurück zum vorigen Bildschirm.,Zurück zum vorigen Bildschirm.
0x727,"Für optimale Helligkeit die|
Monitorhelligkeit so|
einstellen, daß die Graustufe|
unter der roten Linie nicht|
mehr sichtbar ist.","Für optimale Helligkeit die|
Monitorhelligkeit so|
einstellen, daß die Graustufe|
unter der roten Linie nicht|
mehr sichtbar ist."
0x7ab,ACTIVAR / DESACTIVAR la función vibratoria.,ACTIVAR / DESACTIVAR la función vibratoria.
0x7d8,Seleccionar el tipo de radar.,Seleccionar el tipo de radar.
0x7f6,Jugar CON / SIN Sangre.,Jugar CON / SIN Sangre.
0x80e,Selecciona sonido ESTÉREO / MONO.,Selecciona sonido ESTÉREO / MONO.
0x831,Algunas escenas se escucharán en Dolby Digital 5.1.,Algunas escenas se escucharán en Dolby Digital 5.1.
0x866,Jugar CON / SIN anotaciones.,Jugar CON / SIN anotaciones.
0x883,"Selecciona el tipo de control para la Visión Primera|
Persona.","Selecciona el tipo de control para la Visión Primera|
Persona."
0x8c3,Selecciona la forma de visualización del objeto.,Selecciona la forma de visualización del objeto.
0x8f5,Selecciona el tipo de cambio rápido.,Selecciona el tipo de cambio rápido.
0x91b,Ajustar la posición de la pantalla.,Ajustar la posición de la pantalla.
0x940,Muestra la pantalla de ajuste del color.,Muestra la pantalla de ajuste del color.
0x969,Volver a la pantalla anterior.,Volver a la pantalla anterior.
