0xffffffff,,
0x154,Tu as un bandana. Tu peux l'utiliser|dans l'épisode du tanker.,Tu as un bandana. Tu peux l'utiliser|dans l'épisode du tanker.
0x194,Tu as une caméra. Tu peux l'utiliser|dans l'épisode du tanker.,Tu as une caméra. Tu peux l'utiliser|dans l'épisode du tanker.
0x1d5,Tu as une caméra. Tu peux l'utiliser|dans l'épisode du la plateforme.,Tu as une caméra. Tu peux l'utiliser|dans l'épisode du la plateforme.
0x21d,Tu as une caméra.,Tu as une caméra.
0x230,Tu as un camouflage optique. Tu peux l'utiliser|dans l'épisode du tanker.,Tu as un camouflage optique. Tu peux l'utiliser|dans l'épisode du tanker.
0x27b,Tu as un camouflage optique. Tu peux l'utiliser|dans l'épisode du la plateforme.,Tu as un camouflage optique. Tu peux l'utiliser|dans l'épisode du la plateforme.
0x2cd,Tu as un perruque(chatain). Tu peux l'utiliser|dans l'épisode du la plateforme.,Tu as un perruque(chatain). Tu peux l'utiliser|dans l'épisode du la plateforme.
0x31e,Tu as un perruque(orange). Tu peux l'utiliser|dans l'épisode du la plateforme.,Tu as un perruque(orange). Tu peux l'utiliser|dans l'épisode du la plateforme.
0x36e,Tu as un perruque(bleue). Tu peux l'utiliser|dans l'épisode du la plateforme.,Tu as un perruque(bleue). Tu peux l'utiliser|dans l'épisode du la plateforme.
0x3bd,Sauvegarder ?,Sauvegarder ?
0x3cb,Oui,Oui
0x3cf,Non,Non
0x3d3,BANDANA,BANDANA
0x3db,STEALTH,STEALTH
0x3e3,WIG (BROWN),WIG (BROWN)
0x3ef,WIG (ORANGE),WIG (ORANGE)
0x3fc,WIG (BLUE),WIG (BLUE)
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0x407,Du hast eine Bandana. Du kannst sie in|der Episode im Tanker einsetzen.,Du hast eine Bandana. Du kannst sie in|der Episode im Tanker einsetzen.
0x44f,Du hast eine Kamera. Du kannst sie in|der Episode im Tanker einsetzen.,Du hast eine Kamera. Du kannst sie in|der Episode im Tanker einsetzen.
0x496,Du hast eine Kamera. Du kannst sie in|der Episode im Anlage einsetzen.,Du hast eine Kamera. Du kannst sie in|der Episode im Anlage einsetzen.
0x4dd,Du hast eine Kamera.,Du hast eine Kamera.
0x4f2,Du hast eine Stealth-Tarnung. Du kannst sie in|der Episode im Tanker einsetzen.,Du hast eine Stealth-Tarnung. Du kannst sie in|der Episode im Tanker einsetzen.
0x542,Du hast eine Stealth-Tarnung. Du kannst sie in|der Episode im Anlage einsetzen.,Du hast eine Stealth-Tarnung. Du kannst sie in|der Episode im Anlage einsetzen.
0x592,Du hast eine braune Perücke. Du kannst sie in|der Episode im Anlage einsetzen.,Du hast eine braune Perücke. Du kannst sie in|der Episode im Anlage einsetzen.
0x5e2,Du hast eine orange Perücke. Du kannst sie in|der Episode im Anlage einsetzen.,Du hast eine orange Perücke. Du kannst sie in|der Episode im Anlage einsetzen.
0x632,Du hast eine blaue Perücke. Du kannst sie in|der Episode im Anlage einsetzen.,Du hast eine blaue Perücke. Du kannst sie in|der Episode im Anlage einsetzen.
0x681,Speichern ?,Speichern ?
0x68d,Ja,Ja
0x690,Nein,Nein
0x695,"Hai una ""BANDANA"". Puoi usarla nell'|
""Episodio TANKER"".","Hai una ""BANDANA"". Puoi usarla nell'|
""Episodio TANKER""."
0x6ce,"Hai una ""TELECAMERA"". Puoi usarla nell'|
""Episodio TANKER"".","Hai una ""TELECAMERA"". Puoi usarla nell'|
""Episodio TANKER""."
