0xffffffff,,
0x2e8,Turn the vibration ON / OFF.,Turn the vibration ON / OFF.
0x305,Select radar type.,Select radar type.
0x318,Turn blood display ON / OFF.,Turn blood display ON / OFF.
0x335,Select STEREO / MONAURAL sound.,Select STEREO / MONAURAL sound.
0x355,Certain cut scenes will be in Dolby Digital 5.1.,Certain cut scenes will be in Dolby Digital 5.1.
0x386,Turn the captions ON / OFF.,Turn the captions ON / OFF.
0x3a2,Select First Person View control type.,Select First Person View control type.
0x3c9,Select item display type.,Select item display type.
0x3e3,Select quick change type.,Select quick change type.
0x3fd,Adjust screen position.,Adjust screen position.
0x415,Display color adjustment screen.,Display color adjustment screen.
0x436,Return to previous screen.,Return to previous screen.
0x451,"Adjust the monitor brightness|
so that the gray scale under|
the red line is no longer seen|
to obtain optimal brightness|
for this game.","Adjust the monitor brightness|
so that the gray scale under|
the red line is no longer seen|
to obtain optimal brightness|
for this game."
0x4db,Mettre la vibration sur ON / OFF.,Mettre la vibration sur ON / OFF.
0x4fd,Choisir le type de radar.,Choisir le type de radar.
0x517,Mettre l'affichage du sang sur ON / OFF.,Mettre l'affichage du sang sur ON / OFF.
0x540,Choisir entre le son STEREO et MONO.,Choisir entre le son STEREO et MONO.
0x565,Certaines séquences vidéos seront en Dolby Digital 5.1.,Certaines séquences vidéos seront en Dolby Digital 5.1.
0x59f,Mettre les sous-titres sur ON / OFF.,Mettre les sous-titres sur ON / OFF.
0x5c4,Choisir l'Observation à la première personne.,Choisir l'Observation à la première personne.
0x5f4,Choisir l'affichage des objets.,Choisir l'affichage des objets.
0x614,Choisir les changements rapides.,Choisir les changements rapides.
0x635,Régler la position de l'écran.,Régler la position de l'écran.
0x656,Afficher l'écran de réglage des couleurs.,Afficher l'écran de réglage des couleurs.
0x682,Retourner dans l'écran précédent.,Retourner dans l'écran précédent.
0x6a7,"Afin d'obtenir la luminosité|
optimale pour ce jeu, réglez la|
luminosité du moniteur de manière|
à rendre invisible l'échelle de gris|
située sous la ligne rouge.","Afin d'obtenir la luminosité|
optimale pour ce jeu, réglez la|
luminosité du moniteur de manière|
à rendre invisible l'échelle de gris|
située sous la ligne rouge."
0x752,Vibration EIN / AUS.,Vibration EIN / AUS.
0x767,Radartyp wählen.,Radartyp wählen.
0x779,Blutanzeige EIN / AUS.,Blutanzeige EIN / AUS.
0x790,Wählen Sie STEREO / MONO.,Wählen Sie STEREO / MONO.
0x7ab,Bestimmte Szenen sind in Dolby Digital 5.1.,Bestimmte Szenen sind in Dolby Digital 5.1.
0x7d7,Untertitel EIN / AUS.,Untertitel EIN / AUS.
0x7ed,Beobachtungsperspektive wählen.,Beobachtungsperspektive wählen.
0x80e,Displaytyp wählen.,Displaytyp wählen.
0x822,Schnellwechseltyp wählen.,Schnellwechseltyp wählen.
0x83d,Bildschirmposition regulieren.,Bildschirmposition regulieren.
0x85c,Farbregulierungsbildschirm einblenden.,Farbregulierungsbildschirm einblenden.
0x883,Zurück zum vorigen Bildschirm.,Zurück zum vorigen Bildschirm.
0x8a3,"Für optimale Helligkeit die|
Monitorhelligkeit so|
einstellen, daß die Graustufe|
unter der roten Linie nicht|
mehr sichtbar ist.","Für optimale Helligkeit die|
Monitorhelligkeit so|
einstellen, daß die Graustufe|
unter der roten Linie nicht|
mehr sichtbar ist."
0x927,ACTIVAR / DESACTIVAR la función vibratoria.,ACTIVAR / DESACTIVAR la función vibratoria.
0x954,Seleccionar el tipo de radar.,Seleccionar el tipo de radar.
0x972,Jugar CON / SIN Sangre.,Jugar CON / SIN Sangre.
0x98a,Selecciona sonido ESTÉREO / MONO.,Selecciona sonido ESTÉREO / MONO.
0x9ad,Algunas escenas se escucharán en Dolby Digital 5.1.,Algunas escenas se escucharán en Dolby Digital 5.1.
0x9e2,Jugar CON / SIN anotaciones.,Jugar CON / SIN anotaciones.
0x9ff,"Selecciona el tipo de control para la Visión Primera|
Persona.","Selecciona el tipo de control para la Visión Primera|
Persona."
0xa3f,Selecciona la forma de visualización del objeto.,Selecciona la forma de visualización del objeto.
0xa71,Selecciona el tipo de cambio rápido.,Selecciona el tipo de cambio rápido.
0xa97,Ajustar la posición de la pantalla.,Ajustar la posición de la pantalla.
0xabc,Muestra la pantalla de ajuste del color.,Muestra la pantalla de ajuste del color.
0xae5,Volver a la pantalla anterior.,Volver a la pantalla anterior.
0xb04,"Ajusta el brillo de la pantalla. Cuando|
la escala de color gris que aparece|
bajo la línea roja se deje de ver,|
el brillo será el óptimo durante el|
juego.","Ajusta el brillo de la pantalla. Cuando|
la escala de color gris que aparece|
bajo la línea roja se deje de ver,|
el brillo será el óptimo durante el|
juego."
0xba5,Attiva / disattiva la vibrazione.,Attiva / disattiva la vibrazione.
0xbc7,Seleziona tipo di radar.,Seleziona tipo di radar.
0xbe0,Attiva / disattiva la visualizzazione del sangue.,Attiva / disattiva la visualizzazione del sangue.
0xc12,Seleziona sonoro in STEREO / MONO.,Seleziona sonoro in STEREO / MONO.
0xc35,Alcune scene saranno nel formato Dolby Digital 5.1.,Alcune scene saranno nel formato Dolby Digital 5.1.
0xc69,Attiva / disattiva le didascalie.,Attiva / disattiva le didascalie.
0xc8b,Seleziona tipo di controllo in Visuale Soggettiva.,Seleziona tipo di controllo in Visuale Soggettiva.
0xcbe,Seleziona tipo di visualizzazione oggetti.,Seleziona tipo di visualizzazione oggetti.
0xce9,Seleziona tipo di cambio rapido.,Seleziona tipo di cambio rapido.
0xd0a,Regola posizione schermata.,Regola posizione schermata.
0xd26,Visualizza schermata di regolazione colore.,Visualizza schermata di regolazione colore.
0xd52,Torna alla schermata precedente.,Torna alla schermata precedente.
0xd73,"Regola luminosità del monitor|
in modo da rendere invisibile la|
scala di grigi sotto la linea rossa|
ed ottenere la luminosità ottimale|
per questo gioco.","Regola luminosità del monitor|
in modo da rendere invisibile la|
scala di grigi sotto la linea rossa|
ed ottenere la luminosità ottimale|
per questo gioco."
0xe11,Radar appears even during Intrusion View.,Radar appears even during Intrusion View.
