0xffffffff,,
0x1b8,Turn the vibration ON / OFF.,Turn the vibration ON / OFF.
0x1d5,Select radar type.,Select radar type.
0x1e8,Turn blood display ON / OFF.,Turn blood display ON / OFF.
0x205,Select STEREO / MONAURAL sound.,Select STEREO / MONAURAL sound.
0x225,Certain cut scenes will be in Dolby Digital 5.1.,Certain cut scenes will be in Dolby Digital 5.1.
0x256,Turn the captions ON / OFF.,Turn the captions ON / OFF.
0x272,Select First Person View control type.,Select First Person View control type.
0x299,Select item display type.,Select item display type.
0x2b3,Select quick change type.,Select quick change type.
0x2cd,Adjust screen position.,Adjust screen position.
0x2e5,Display color adjustment screen.,Display color adjustment screen.
0x306,Return to previous screen.,Return to previous screen.
0x321,"Adjust the monitor brightness|
so that the gray scale under|
the red line is no longer seen|
to obtain optimal brightness|
for this game.","Adjust the monitor brightness|
so that the gray scale under|
the red line is no longer seen|
to obtain optimal brightness|
for this game."
0x3ab,Mettre la vibration sur ON / OFF.,Mettre la vibration sur ON / OFF.
0x3cd,Choisir le type de radar.,Choisir le type de radar.
0x3e7,Mettre l'affichage du sang sur ON / OFF.,Mettre l'affichage du sang sur ON / OFF.
0x410,Choisir entre le son STEREO et MONO.,Choisir entre le son STEREO et MONO.
0x435,Certaines séquences vidéos seront en Dolby Digital 5.1.,Certaines séquences vidéos seront en Dolby Digital 5.1.
0x46f,Mettre les sous-titres sur ON / OFF.,Mettre les sous-titres sur ON / OFF.
0x494,Choisir l'Observation à la première personne.,Choisir l'Observation à la première personne.
0x4c4,Choisir l'affichage des objets.,Choisir l'affichage des objets.
0x4e4,Choisir les changements rapides.,Choisir les changements rapides.
0x505,Régler la position de l'écran.,Régler la position de l'écran.
0x526,Afficher l'écran de réglage des couleurs.,Afficher l'écran de réglage des couleurs.
0x552,Retourner dans l'écran précédent.,Retourner dans l'écran précédent.
0x577,"Afin d'obtenir la luminosité|
optimale pour ce jeu, réglez la|
luminosité du moniteur de manière|
à rendre invisible l'échelle de gris|
située sous la ligne rouge.","Afin d'obtenir la luminosité|
optimale pour ce jeu, réglez la|
luminosité du moniteur de manière|
à rendre invisible l'échelle de gris|
située sous la ligne rouge."
0x622,Vibration EIN / AUS.,Vibration EIN / AUS.
0x637,Radartyp wählen.,Radartyp wählen.
0x649,Blutanzeige EIN / AUS.,Blutanzeige EIN / AUS.
0x660,Wählen Sie STEREO / MONO.,Wählen Sie STEREO / MONO.
0x67b,Bestimmte Szenen sind in Dolby Digital 5.1.,Bestimmte Szenen sind in Dolby Digital 5.1.
0x6a7,Untertitel EIN / AUS.,Untertitel EIN / AUS.
0x6bd,Beobachtungsperspektive wählen.,Beobachtungsperspektive wählen.
0x6de,Displaytyp wählen.,Displaytyp wählen.
0x6f2,Schnellwechseltyp wählen.,Schnellwechseltyp wählen.
0x70d,Bildschirmposition regulieren.,Bildschirmposition regulieren.
0x72c,Farbregulierungsbildschirm einblenden.,Farbregulierungsbildschirm einblenden.
0x753,Zurück zum vorigen Bildschirm.,Zurück zum vorigen Bildschirm.
0x773,"Für optimale Helligkeit die|
Monitorhelligkeit so|
einstellen, daß die Graustufe|
unter der roten Linie nicht|
mehr sichtbar ist.","Für optimale Helligkeit die|
Monitorhelligkeit so|
einstellen, daß die Graustufe|
unter der roten Linie nicht|
mehr sichtbar ist."
0x7f7,ACTIVAR / DESACTIVAR la función vibratoria.,ACTIVAR / DESACTIVAR la función vibratoria.
0x824,Seleccionar el tipo de radar.,Seleccionar el tipo de radar.
0x842,Jugar CON / SIN Sangre.,Jugar CON / SIN Sangre.
0x85a,Selecciona sonido ESTÉREO / MONO.,Selecciona sonido ESTÉREO / MONO.
0x87d,Algunas escenas se escucharán en Dolby Digital 5.1.,Algunas escenas se escucharán en Dolby Digital 5.1.
0x8b2,Jugar CON / SIN anotaciones.,Jugar CON / SIN anotaciones.
0x8cf,"Selecciona el tipo de control para la Visión Primera|
Persona.","Selecciona el tipo de control para la Visión Primera|
Persona."
0x90f,Selecciona la forma de visualización del objeto.,Selecciona la forma de visualización del objeto.
0x941,Selecciona el tipo de cambio rápido.,Selecciona el tipo de cambio rápido.
0x967,Ajustar la posición de la pantalla.,Ajustar la posición de la pantalla.
0x98c,Muestra la pantalla de ajuste del color.,Muestra la pantalla de ajuste del color.
0x9b5,Volver a la pantalla anterior.,Volver a la pantalla anterior.
0x9d4,"Ajusta el brillo de la pantalla. Cuando|
la escala de color gris que aparece|
bajo la línea roja se deje de ver,|
el brillo será el óptimo durante el|
juego.","Ajusta el brillo de la pantalla. Cuando|
la escala de color gris que aparece|
bajo la línea roja se deje de ver,|
el brillo será el óptimo durante el|
juego."
0xa75,Attiva / disattiva la vibrazione.,Attiva / disattiva la vibrazione.
0xa97,Seleziona tipo di radar.,Seleziona tipo di radar.
0xab0,Attiva / disattiva la visualizzazione del sangue.,Attiva / disattiva la visualizzazione del sangue.
0xae2,Seleziona sonoro in STEREO / MONO.,Seleziona sonoro in STEREO / MONO.
0xb05,Alcune scene saranno nel formato Dolby Digital 5.1.,Alcune scene saranno nel formato Dolby Digital 5.1.
0xb39,Attiva / disattiva le didascalie.,Attiva / disattiva le didascalie.
0xb5b,Seleziona tipo di controllo in Visuale Soggettiva.,Seleziona tipo di controllo in Visuale Soggettiva.
0xb8e,Seleziona tipo di visualizzazione oggetti.,Seleziona tipo di visualizzazione oggetti.
0xbb9,Seleziona tipo di cambio rapido.,Seleziona tipo di cambio rapido.
0xbda,Regola posizione schermata.,Regola posizione schermata.
0xbf6,Visualizza schermata di regolazione colore.,Visualizza schermata di regolazione colore.
0xc22,Torna alla schermata precedente.,Torna alla schermata precedente.
0xc43,"Regola luminosità del monitor|
in modo da rendere invisibile la|
scala di grigi sotto la linea rossa|
ed ottenere la luminosità ottimale|
per questo gioco.","Regola luminosità del monitor|
in modo da rendere invisibile la|
scala di grigi sotto la linea rossa|
ed ottenere la luminosità ottimale|
per questo gioco."
0xce1,Radar appears even during Intrusion View.,Radar appears even during Intrusion View.
0xd0b,Radar does not appear during Intrusion View.,Radar does not appear during Intrusion View.
0xd38,Radar will not appear at all.,Radar will not appear at all.
0xd56,Le radar s'affiche même en Point de vue d'intrusion.,Le radar s'affiche même en Point de vue d'intrusion.
0xd8c,Le radar ne s'affiche pas en Point de vue d'intrusion.,Le radar ne s'affiche pas en Point de vue d'intrusion.
0xdc3,Le radar ne s'affiche pas du tout.,Le radar ne s'affiche pas du tout.
0xde6,Radar erscheint auch in der Eindringperspektive.,Radar erscheint auch in der Eindringperspektive.
0xe17,Radar erscheint nicht in der Eindringperspektive.,Radar erscheint nicht in der Eindringperspektive.
0xe49,Radar erscheint überhaupt nicht.,Radar erscheint überhaupt nicht.
0xe6b,El radar aparece incluso durante la Visión Intrusión.,El radar aparece incluso durante la Visión Intrusión.
0xea3,El radar no aparece durante la Visión Intrusión.,El radar no aparece durante la Visión Intrusión.
0xed6,El radar no aparece nunca.,El radar no aparece nunca.
0xef1,Il radar appare anche nella Visuale Incursione.,Il radar appare anche nella Visuale Incursione.
0xf21,Il radar non appare nella Visuale Incursione.,Il radar non appare nella Visuale Incursione.
0xf4f,Il radar non appare mai.,Il radar non appare mai.
0xf68,Equip/unequip selected weapon/item.,Equip/unequip selected weapon/item.
0xf8c,"Switch between currently and previously equipped|
weapon/item.","Switch between currently and previously equipped|
weapon/item."
0xfcb,Equiper/Ne pas équiper une arme/un outil.,Equiper/Ne pas équiper une arme/un outil.
0xff6,Alterner des armes/des outils préalablement équipés.,Alterner des armes/des outils préalablement équipés.
0x102e,Nenme/Gebe die ausgewähelten Waffen/Gegenstände.,Nenme/Gebe die ausgewähelten Waffen/Gegenstände.
0x1061,"Wechsle zwischen momentaner und vohergehender|
Ausrüstung an Waffen/Gegenstände.","Wechsle zwischen momentaner und vohergehender|
Ausrüstung an Waffen/Gegenstände."
