0xffffffff,,
0x1d0,Turn the vibration ON / OFF.,Turn the vibration ON / OFF.
0x1ed,Select radar type.,Select radar type.
0x200,Turn blood display ON / OFF.,Turn blood display ON / OFF.
0x21d,Select STEREO / MONAURAL sound.,Select STEREO / MONAURAL sound.
0x23d,Certain cut scenes will be in Dolby Digital 5.1.,Certain cut scenes will be in Dolby Digital 5.1.
0x26e,Turn the captions ON / OFF.,Turn the captions ON / OFF.
0x28a,Select First Person View control type.,Select First Person View control type.
0x2b1,Select item display type.,Select item display type.
0x2cb,Select quick change type.,Select quick change type.
0x2e5,Adjust screen position.,Adjust screen position.
0x2fd,Display color adjustment screen.,Display color adjustment screen.
0x31e,Return to previous screen.,Return to previous screen.
0x339,"Adjust the monitor brightness|
so that the gray scale under|
the red line is no longer seen|
to obtain optimal brightness|
for this game.","Adjust the monitor brightness|
so that the gray scale under|
the red line is no longer seen|
to obtain optimal brightness|
for this game."
0x3c3,Mettre la vibration sur ON / OFF.,Mettre la vibration sur ON / OFF.
0x3e5,Choisir le type de radar.,Choisir le type de radar.
0x3ff,Mettre l'affichage du sang sur ON / OFF.,Mettre l'affichage du sang sur ON / OFF.
0x428,Choisir entre le son STEREO et MONO.,Choisir entre le son STEREO et MONO.
0x44d,Certaines séquences vidéos seront en Dolby Digital 5.1.,Certaines séquences vidéos seront en Dolby Digital 5.1.
0x487,Mettre les sous-titres sur ON / OFF.,Mettre les sous-titres sur ON / OFF.
0x4ac,Choisir l'Observation à la première personne.,Choisir l'Observation à la première personne.
0x4dc,Choisir l'affichage des objets.,Choisir l'affichage des objets.
0x4fc,Choisir les changements rapides.,Choisir les changements rapides.
0x51d,Régler la position de l'écran.,Régler la position de l'écran.
0x53e,Afficher l'écran de réglage des couleurs.,Afficher l'écran de réglage des couleurs.
0x56a,Retourner dans l'écran précédent.,Retourner dans l'écran précédent.
0x58f,"Afin d'obtenir la luminosité|
optimale pour ce jeu, réglez la|
luminosité du moniteur de manière|
à rendre invisible l'échelle de gris|
située sous la ligne rouge.","Afin d'obtenir la luminosité|
optimale pour ce jeu, réglez la|
luminosité du moniteur de manière|
à rendre invisible l'échelle de gris|
située sous la ligne rouge."
0x63a,Vibration EIN / AUS.,Vibration EIN / AUS.
0x64f,Radartyp wählen.,Radartyp wählen.
0x661,Blutanzeige EIN / AUS.,Blutanzeige EIN / AUS.
0x678,Wählen Sie STEREO / MONO.,Wählen Sie STEREO / MONO.
0x693,Bestimmte Szenen sind in Dolby Digital 5.1.,Bestimmte Szenen sind in Dolby Digital 5.1.
0x6bf,Untertitel EIN / AUS.,Untertitel EIN / AUS.
0x6d5,Beobachtungsperspektive wählen.,Beobachtungsperspektive wählen.
0x6f6,Displaytyp wählen.,Displaytyp wählen.
0x70a,Schnellwechseltyp wählen.,Schnellwechseltyp wählen.
0x725,Bildschirmposition regulieren.,Bildschirmposition regulieren.
0x744,Farbregulierungsbildschirm einblenden.,Farbregulierungsbildschirm einblenden.
0x76b,Zurück zum vorigen Bildschirm.,Zurück zum vorigen Bildschirm.
0x78b,"Für optimale Helligkeit die|
Monitorhelligkeit so|
einstellen, daß die Graustufe|
unter der roten Linie nicht|
mehr sichtbar ist.","Für optimale Helligkeit die|
Monitorhelligkeit so|
einstellen, daß die Graustufe|
unter der roten Linie nicht|
mehr sichtbar ist."
0x80f,ACTIVAR / DESACTIVAR la función vibratoria.,ACTIVAR / DESACTIVAR la función vibratoria.
0x83c,Seleccionar el tipo de radar.,Seleccionar el tipo de radar.
0x85a,Jugar CON / SIN Sangre.,Jugar CON / SIN Sangre.
0x872,Selecciona sonido ESTÉREO / MONO.,Selecciona sonido ESTÉREO / MONO.
0x895,Algunas escenas se escucharán en Dolby Digital 5.1.,Algunas escenas se escucharán en Dolby Digital 5.1.
0x8ca,Jugar CON / SIN anotaciones.,Jugar CON / SIN anotaciones.
0x8e7,"Selecciona el tipo de control para la Visión Primera|
Persona.","Selecciona el tipo de control para la Visión Primera|
Persona."
0x927,Selecciona la forma de visualización del objeto.,Selecciona la forma de visualización del objeto.
0x959,Selecciona el tipo de cambio rápido.,Selecciona el tipo de cambio rápido.
0x97f,Ajustar la posición de la pantalla.,Ajustar la posición de la pantalla.
0x9a4,Muestra la pantalla de ajuste del color.,Muestra la pantalla de ajuste del color.
0x9cd,Volver a la pantalla anterior.,Volver a la pantalla anterior.
0x9ec,"Ajusta el brillo de la pantalla. Cuando|
la escala de color gris que aparece|
bajo la línea roja se deje de ver,|
el brillo será el óptimo durante el|
juego.","Ajusta el brillo de la pantalla. Cuando|
la escala de color gris que aparece|
bajo la línea roja se deje de ver,|
el brillo será el óptimo durante el|
juego."
0xa8d,Attiva / disattiva la vibrazione.,Attiva / disattiva la vibrazione.
0xaaf,Seleziona tipo di radar.,Seleziona tipo di radar.
0xac8,Attiva / disattiva la visualizzazione del sangue.,Attiva / disattiva la visualizzazione del sangue.
0xafa,Seleziona sonoro in STEREO / MONO.,Seleziona sonoro in STEREO / MONO.
0xb1d,Alcune scene saranno nel formato Dolby Digital 5.1.,Alcune scene saranno nel formato Dolby Digital 5.1.
0xb51,Attiva / disattiva le didascalie.,Attiva / disattiva le didascalie.
0xb73,Seleziona tipo di controllo in Visuale Soggettiva.,Seleziona tipo di controllo in Visuale Soggettiva.
0xba6,Seleziona tipo di visualizzazione oggetti.,Seleziona tipo di visualizzazione oggetti.
0xbd1,Seleziona tipo di cambio rapido.,Seleziona tipo di cambio rapido.
0xbf2,Regola posizione schermata.,Regola posizione schermata.
0xc0e,Visualizza schermata di regolazione colore.,Visualizza schermata di regolazione colore.
0xc3a,Torna alla schermata precedente.,Torna alla schermata precedente.
0xc5b,"Regola luminosità del monitor|
in modo da rendere invisibile la|
scala di grigi sotto la linea rossa|
ed ottenere la luminosità ottimale|
per questo gioco.","Regola luminosità del monitor|
in modo da rendere invisibile la|
scala di grigi sotto la linea rossa|
ed ottenere la luminosità ottimale|
per questo gioco."
0xcf9,Radar appears even during Intrusion View.,Radar appears even during Intrusion View.
0xd23,Radar does not appear during Intrusion View.,Radar does not appear during Intrusion View.
0xd50,Radar will not appear at all.,Radar will not appear at all.
0xd6e,Le radar s'affiche même en Point de vue d'intrusion.,Le radar s'affiche même en Point de vue d'intrusion.
0xda4,Le radar ne s'affiche pas en Point de vue d'intrusion.,Le radar ne s'affiche pas en Point de vue d'intrusion.
0xddb,Le radar ne s'affiche pas du tout.,Le radar ne s'affiche pas du tout.
0xdfe,Radar erscheint auch in der Eindringperspektive.,Radar erscheint auch in der Eindringperspektive.
0xe2f,Radar erscheint nicht in der Eindringperspektive.,Radar erscheint nicht in der Eindringperspektive.
0xe61,Radar erscheint überhaupt nicht.,Radar erscheint überhaupt nicht.
0xe83,El radar aparece incluso durante la Visión Intrusión.,El radar aparece incluso durante la Visión Intrusión.
0xebb,El radar no aparece durante la Visión Intrusión.,El radar no aparece durante la Visión Intrusión.
0xeee,El radar no aparece nunca.,El radar no aparece nunca.
0xf09,Il radar appare anche nella Visuale Incursione.,Il radar appare anche nella Visuale Incursione.
0xf39,Il radar non appare nella Visuale Incursione.,Il radar non appare nella Visuale Incursione.
0xf67,Il radar non appare mai.,Il radar non appare mai.
0xf80,Equip/unequip selected weapon/item.,Equip/unequip selected weapon/item.
0xfa4,"Switch between currently and previously equipped|
weapon/item.","Switch between currently and previously equipped|
weapon/item."
0xfe3,Equiper/Ne pas équiper une arme/un outil.,Equiper/Ne pas équiper une arme/un outil.
0x100e,Alterner des armes/des outils préalablement équipés.,Alterner des armes/des outils préalablement équipés.
0x1046,Nenme/Gebe die ausgewähelten Waffen/Gegenstände.,Nenme/Gebe die ausgewähelten Waffen/Gegenstände.
