0xffffffff,,
0x174,Turn the vibration ON / OFF.,Turn the vibration ON / OFF.
0x191,Select radar type.,Select radar type.
0x1a4,Turn blood display ON / OFF.,Turn blood display ON / OFF.
0x1c1,Select STEREO / MONAURAL sound.,Select STEREO / MONAURAL sound.
0x1e1,Certain cut scenes will be in Dolby Digital 5.1.,Certain cut scenes will be in Dolby Digital 5.1.
0x212,Turn the captions ON / OFF.,Turn the captions ON / OFF.
0x22e,Select First Person View control type.,Select First Person View control type.
0x255,Select item display type.,Select item display type.
0x26f,Select quick change type.,Select quick change type.
0x289,Adjust screen position.,Adjust screen position.
0x2a1,Display color adjustment screen.,Display color adjustment screen.
0x2c2,Return to previous screen.,Return to previous screen.
0x2dd,"Adjust the monitor brightness|
so that the gray scale under|
the red line is no longer seen|
to obtain optimal brightness|
for this game.","Adjust the monitor brightness|
so that the gray scale under|
the red line is no longer seen|
to obtain optimal brightness|
for this game."
0x367,Mettre la vibration sur ON / OFF.,Mettre la vibration sur ON / OFF.
0x389,Choisir le type de radar.,Choisir le type de radar.
0x3a3,Mettre l'affichage du sang sur ON / OFF.,Mettre l'affichage du sang sur ON / OFF.
0x3cc,Choisir entre le son STEREO et MONO.,Choisir entre le son STEREO et MONO.
0x3f1,Certaines séquences vidéos seront en Dolby Digital 5.1.,Certaines séquences vidéos seront en Dolby Digital 5.1.
0x42b,Mettre les sous-titres sur ON / OFF.,Mettre les sous-titres sur ON / OFF.
0x450,Choisir l'Observation à la première personne.,Choisir l'Observation à la première personne.
0x480,Choisir l'affichage des objets.,Choisir l'affichage des objets.
0x4a0,Choisir les changements rapides.,Choisir les changements rapides.
0x4c1,Régler la position de l'écran.,Régler la position de l'écran.
0x4e2,Afficher l'écran de réglage des couleurs.,Afficher l'écran de réglage des couleurs.
0x50e,Retourner dans l'écran précédent.,Retourner dans l'écran précédent.
0x533,"Afin d'obtenir la luminosité|
optimale pour ce jeu, réglez la|
luminosité du moniteur de manière|
à rendre invisible l'échelle de gris|
située sous la ligne rouge.","Afin d'obtenir la luminosité|
optimale pour ce jeu, réglez la|
luminosité du moniteur de manière|
à rendre invisible l'échelle de gris|
située sous la ligne rouge."
0x5de,Vibration EIN / AUS.,Vibration EIN / AUS.
0x5f3,Radartyp wählen.,Radartyp wählen.
0x605,Blutanzeige EIN / AUS.,Blutanzeige EIN / AUS.
0x61c,Wählen Sie STEREO / MONO.,Wählen Sie STEREO / MONO.
0x637,Bestimmte Szenen sind in Dolby Digital 5.1.,Bestimmte Szenen sind in Dolby Digital 5.1.
0x663,Untertitel EIN / AUS.,Untertitel EIN / AUS.
0x679,Beobachtungsperspektive wählen.,Beobachtungsperspektive wählen.
0x69a,Displaytyp wählen.,Displaytyp wählen.
0x6ae,Schnellwechseltyp wählen.,Schnellwechseltyp wählen.
0x6c9,Bildschirmposition regulieren.,Bildschirmposition regulieren.
0x6e8,Farbregulierungsbildschirm einblenden.,Farbregulierungsbildschirm einblenden.
0x70f,Zurück zum vorigen Bildschirm.,Zurück zum vorigen Bildschirm.
0x72f,"Für optimale Helligkeit die|
Monitorhelligkeit so|
einstellen, daß die Graustufe|
unter der roten Linie nicht|
mehr sichtbar ist.","Für optimale Helligkeit die|
Monitorhelligkeit so|
einstellen, daß die Graustufe|
unter der roten Linie nicht|
mehr sichtbar ist."
0x7b3,ACTIVAR / DESACTIVAR la función vibratoria.,ACTIVAR / DESACTIVAR la función vibratoria.
0x7e0,Seleccionar el tipo de radar.,Seleccionar el tipo de radar.
0x7fe,Jugar CON / SIN Sangre.,Jugar CON / SIN Sangre.
0x816,Selecciona sonido ESTÉREO / MONO.,Selecciona sonido ESTÉREO / MONO.
0x839,Algunas escenas se escucharán en Dolby Digital 5.1.,Algunas escenas se escucharán en Dolby Digital 5.1.
0x86e,Jugar CON / SIN anotaciones.,Jugar CON / SIN anotaciones.
0x88b,"Selecciona el tipo de control para la Visión Primera|
Persona.","Selecciona el tipo de control para la Visión Primera|
Persona."
0x8cb,Selecciona la forma de visualización del objeto.,Selecciona la forma de visualización del objeto.
0x8fd,Selecciona el tipo de cambio rápido.,Selecciona el tipo de cambio rápido.
0x923,Ajustar la posición de la pantalla.,Ajustar la posición de la pantalla.
0x948,Muestra la pantalla de ajuste del color.,Muestra la pantalla de ajuste del color.
0x971,Volver a la pantalla anterior.,Volver a la pantalla anterior.
0x990,"Ajusta el brillo de la pantalla. Cuando|
la escala de color gris que aparece|
bajo la línea roja se deje de ver,|
el brillo será el óptimo durante el|
juego.","Ajusta el brillo de la pantalla. Cuando|
la escala de color gris que aparece|
bajo la línea roja se deje de ver,|
el brillo será el óptimo durante el|
juego."
0xa31,Attiva / disattiva la vibrazione.,Attiva / disattiva la vibrazione.
0xa53,Seleziona tipo di radar.,Seleziona tipo di radar.
0xa6c,Attiva / disattiva la visualizzazione del sangue.,Attiva / disattiva la visualizzazione del sangue.
0xa9e,Seleziona sonoro in STEREO / MONO.,Seleziona sonoro in STEREO / MONO.
0xac1,Alcune scene saranno nel formato Dolby Digital 5.1.,Alcune scene saranno nel formato Dolby Digital 5.1.
0xaf5,Attiva / disattiva le didascalie.,Attiva / disattiva le didascalie.
0xb17,Seleziona tipo di controllo in Visuale Soggettiva.,Seleziona tipo di controllo in Visuale Soggettiva.
0xb4a,Seleziona tipo di visualizzazione oggetti.,Seleziona tipo di visualizzazione oggetti.
0xb75,Seleziona tipo di cambio rapido.,Seleziona tipo di cambio rapido.
0xb96,Regola posizione schermata.,Regola posizione schermata.
0xbb2,Visualizza schermata di regolazione colore.,Visualizza schermata di regolazione colore.
0xbde,Torna alla schermata precedente.,Torna alla schermata precedente.
0xbff,"Regola luminosità del monitor|
in modo da rendere invisibile la|
scala di grigi sotto la linea rossa|
ed ottenere la luminosità ottimale|
per questo gioco.","Regola luminosità del monitor|
in modo da rendere invisibile la|
scala di grigi sotto la linea rossa|
ed ottenere la luminosità ottimale|
per questo gioco."
0xc9d,Radar appears even during Intrusion View.,Radar appears even during Intrusion View.
0xcc7,Radar does not appear during Intrusion View.,Radar does not appear during Intrusion View.
0xcf4,Radar will not appear at all.,Radar will not appear at all.
0xd12,Le radar s'affiche même en Point de vue d'intrusion.,Le radar s'affiche même en Point de vue d'intrusion.
0xd48,Le radar ne s'affiche pas en Point de vue d'intrusion.,Le radar ne s'affiche pas en Point de vue d'intrusion.
0xd7f,Le radar ne s'affiche pas du tout.,Le radar ne s'affiche pas du tout.
0xda2,Radar erscheint auch in der Eindringperspektive.,Radar erscheint auch in der Eindringperspektive.
0xdd3,Radar erscheint nicht in der Eindringperspektive.,Radar erscheint nicht in der Eindringperspektive.
0xe05,Radar erscheint überhaupt nicht.,Radar erscheint überhaupt nicht.
0xe27,El radar aparece incluso durante la Visión Intrusión.,El radar aparece incluso durante la Visión Intrusión.
0xe5f,El radar no aparece durante la Visión Intrusión.,El radar no aparece durante la Visión Intrusión.
0xe92,El radar no aparece nunca.,El radar no aparece nunca.
0xead,Il radar appare anche nella Visuale Incursione.,Il radar appare anche nella Visuale Incursione.
0xedd,Il radar non appare nella Visuale Incursione.,Il radar non appare nella Visuale Incursione.
0xf0b,Il radar non appare mai.,Il radar non appare mai.
0xf24,Equip/unequip selected weapon/item.,Equip/unequip selected weapon/item.
0xf48,"Switch between currently and previously equipped|
weapon/item.","Switch between currently and previously equipped|
weapon/item."
0xf87,Equiper/Ne pas équiper une arme/un outil.,Equiper/Ne pas équiper une arme/un outil.
0xfb2,Alterner des armes/des outils préalablement équipés.,Alterner des armes/des outils préalablement équipés.
0xfea,Nenme/Gebe die ausgewähelten Waffen/Gegenstände.,Nenme/Gebe die ausgewähelten Waffen/Gegenstände.
0x101d,"Wechsle zwischen momentaner und vohergehender|
Ausrüstung an Waffen/Gegenstände.","Wechsle zwischen momentaner und vohergehender|
Ausrüstung an Waffen/Gegenstände."
0x1070,Equipar/desactivar arma/objet seleccionada.,Equipar/desactivar arma/objet seleccionada.
0x109c,"Cambiar entre el arma/objeto seleccionado ahora|
y el anterior.","Cambiar entre el arma/objeto seleccionado ahora|
y el anterior."
0x10dc,"Equipaggiamento/senza equipaggiamento arma/articolo|
selezionati.","Equipaggiamento/senza equipaggiamento arma/articolo|
selezionati."
0x111e,"Cambia tra corrente e precedente arma/articolo|
selezionati.","Cambia tra corrente e precedente arma/articolo|
selezionati."
0xffffffff,,
