0xffffffff,,
0x178,Turn the vibration ON / OFF.,Turn the vibration ON / OFF.
0x195,Select radar type.,Select radar type.
0x1a8,Turn blood display ON / OFF.,Turn blood display ON / OFF.
0x1c5,Select STEREO / MONAURAL sound.,Select STEREO / MONAURAL sound.
0x1e5,Certain cut scenes will be in Dolby Digital 5.1.,Certain cut scenes will be in Dolby Digital 5.1.
0x216,Turn the captions ON / OFF.,Turn the captions ON / OFF.
0x232,Select First Person View control type.,Select First Person View control type.
0x259,Select item display type.,Select item display type.
0x273,Select quick change type.,Select quick change type.
0x28d,Adjust screen position.,Adjust screen position.
0x2a5,Display color adjustment screen.,Display color adjustment screen.
0x2c6,Return to previous screen.,Return to previous screen.
0x2e1,"Adjust the monitor brightness|
so that the gray scale under|
the red line is no longer seen|
to obtain optimal brightness|
for this game.","Adjust the monitor brightness|
so that the gray scale under|
the red line is no longer seen|
to obtain optimal brightness|
for this game."
0x36b,Mettre la vibration sur ON / OFF.,Mettre la vibration sur ON / OFF.
0x38d,Choisir le type de radar.,Choisir le type de radar.
0x3a7,Mettre l'affichage du sang sur ON / OFF.,Mettre l'affichage du sang sur ON / OFF.
0x3d0,Choisir entre le son STEREO et MONO.,Choisir entre le son STEREO et MONO.
0x3f5,Certaines séquences vidéos seront en Dolby Digital 5.1.,Certaines séquences vidéos seront en Dolby Digital 5.1.
0x42f,Mettre les sous-titres sur ON / OFF.,Mettre les sous-titres sur ON / OFF.
0x454,Choisir l'Observation à la première personne.,Choisir l'Observation à la première personne.
0x484,Choisir l'affichage des objets.,Choisir l'affichage des objets.
0x4a4,Choisir les changements rapides.,Choisir les changements rapides.
0x4c5,Régler la position de l'écran.,Régler la position de l'écran.
0x4e6,Afficher l'écran de réglage des couleurs.,Afficher l'écran de réglage des couleurs.
0x512,Retourner dans l'écran précédent.,Retourner dans l'écran précédent.
0x537,"Afin d'obtenir la luminosité|
optimale pour ce jeu, réglez la|
luminosité du moniteur de manière|
à rendre invisible l'échelle de gris|
située sous la ligne rouge.","Afin d'obtenir la luminosité|
optimale pour ce jeu, réglez la|
luminosité du moniteur de manière|
à rendre invisible l'échelle de gris|
située sous la ligne rouge."
0x5e2,Vibration EIN / AUS.,Vibration EIN / AUS.
0x5f7,Radartyp wählen.,Radartyp wählen.
0x609,Blutanzeige EIN / AUS.,Blutanzeige EIN / AUS.
0x620,Wählen Sie STEREO / MONO.,Wählen Sie STEREO / MONO.
0x63b,Bestimmte Szenen sind in Dolby Digital 5.1.,Bestimmte Szenen sind in Dolby Digital 5.1.
0x667,Untertitel EIN / AUS.,Untertitel EIN / AUS.
0x67d,Beobachtungsperspektive wählen.,Beobachtungsperspektive wählen.
0x69e,Displaytyp wählen.,Displaytyp wählen.
0x6b2,Schnellwechseltyp wählen.,Schnellwechseltyp wählen.
0x6cd,Bildschirmposition regulieren.,Bildschirmposition regulieren.
0x6ec,Farbregulierungsbildschirm einblenden.,Farbregulierungsbildschirm einblenden.
0x713,Zurück zum vorigen Bildschirm.,Zurück zum vorigen Bildschirm.
0x733,"Für optimale Helligkeit die|
Monitorhelligkeit so|
einstellen, daß die Graustufe|
unter der roten Linie nicht|
mehr sichtbar ist.","Für optimale Helligkeit die|
Monitorhelligkeit so|
einstellen, daß die Graustufe|
unter der roten Linie nicht|
mehr sichtbar ist."
0x7b7,ACTIVAR / DESACTIVAR la función vibratoria.,ACTIVAR / DESACTIVAR la función vibratoria.
0x7e4,Seleccionar el tipo de radar.,Seleccionar el tipo de radar.
0x802,Jugar CON / SIN Sangre.,Jugar CON / SIN Sangre.
0x81a,Selecciona sonido ESTÉREO / MONO.,Selecciona sonido ESTÉREO / MONO.
0x83d,Algunas escenas se escucharán en Dolby Digital 5.1.,Algunas escenas se escucharán en Dolby Digital 5.1.
0x872,Jugar CON / SIN anotaciones.,Jugar CON / SIN anotaciones.
0x88f,"Selecciona el tipo de control para la Visión Primera|
Persona.","Selecciona el tipo de control para la Visión Primera|
Persona."
0x8cf,Selecciona la forma de visualización del objeto.,Selecciona la forma de visualización del objeto.
0x901,Selecciona el tipo de cambio rápido.,Selecciona el tipo de cambio rápido.
0x927,Ajustar la posición de la pantalla.,Ajustar la posición de la pantalla.
0x94c,Muestra la pantalla de ajuste del color.,Muestra la pantalla de ajuste del color.
0x975,Volver a la pantalla anterior.,Volver a la pantalla anterior.
0x994,"Ajusta el brillo de la pantalla. Cuando|
la escala de color gris que aparece|
bajo la línea roja se deje de ver,|
el brillo será el óptimo durante el|
juego.","Ajusta el brillo de la pantalla. Cuando|
la escala de color gris que aparece|
bajo la línea roja se deje de ver,|
el brillo será el óptimo durante el|
juego."
0xa35,Attiva / disattiva la vibrazione.,Attiva / disattiva la vibrazione.
0xa57,Seleziona tipo di radar.,Seleziona tipo di radar.
0xa70,Attiva / disattiva la visualizzazione del sangue.,Attiva / disattiva la visualizzazione del sangue.
0xaa2,Seleziona sonoro in STEREO / MONO.,Seleziona sonoro in STEREO / MONO.
0xac5,Alcune scene saranno nel formato Dolby Digital 5.1.,Alcune scene saranno nel formato Dolby Digital 5.1.
0xaf9,Attiva / disattiva le didascalie.,Attiva / disattiva le didascalie.
0xb1b,Seleziona tipo di controllo in Visuale Soggettiva.,Seleziona tipo di controllo in Visuale Soggettiva.
0xb4e,Seleziona tipo di visualizzazione oggetti.,Seleziona tipo di visualizzazione oggetti.
0xb79,Seleziona tipo di cambio rapido.,Seleziona tipo di cambio rapido.
0xb9a,Regola posizione schermata.,Regola posizione schermata.
0xbb6,Visualizza schermata di regolazione colore.,Visualizza schermata di regolazione colore.
0xbe2,Torna alla schermata precedente.,Torna alla schermata precedente.
0xc03,"Regola luminosità del monitor|
in modo da rendere invisibile la|
scala di grigi sotto la linea rossa|
ed ottenere la luminosità ottimale|
per questo gioco.","Regola luminosità del monitor|
in modo da rendere invisibile la|
scala di grigi sotto la linea rossa|
ed ottenere la luminosità ottimale|
per questo gioco."
0xca1,Radar appears even during Intrusion View.,Radar appears even during Intrusion View.
0xccb,Radar does not appear during Intrusion View.,Radar does not appear during Intrusion View.
0xcf8,Radar will not appear at all.,Radar will not appear at all.
0xd16,Le radar s'affiche même en Point de vue d'intrusion.,Le radar s'affiche même en Point de vue d'intrusion.
0xd4c,Le radar ne s'affiche pas en Point de vue d'intrusion.,Le radar ne s'affiche pas en Point de vue d'intrusion.
0xd83,Le radar ne s'affiche pas du tout.,Le radar ne s'affiche pas du tout.
0xda6,Radar erscheint auch in der Eindringperspektive.,Radar erscheint auch in der Eindringperspektive.
0xdd7,Radar erscheint nicht in der Eindringperspektive.,Radar erscheint nicht in der Eindringperspektive.
0xe09,Radar erscheint überhaupt nicht.,Radar erscheint überhaupt nicht.
0xe2b,El radar aparece incluso durante la Visión Intrusión.,El radar aparece incluso durante la Visión Intrusión.
0xe63,El radar no aparece durante la Visión Intrusión.,El radar no aparece durante la Visión Intrusión.
0xe96,El radar no aparece nunca.,El radar no aparece nunca.
0xeb1,Il radar appare anche nella Visuale Incursione.,Il radar appare anche nella Visuale Incursione.
0xee1,Il radar non appare nella Visuale Incursione.,Il radar non appare nella Visuale Incursione.
0xf0f,Il radar non appare mai.,Il radar non appare mai.
0xf28,Equip/unequip selected weapon/item.,Equip/unequip selected weapon/item.
0xf4c,"Switch between currently and previously equipped|
weapon/item.","Switch between currently and previously equipped|
weapon/item."
0xf8b,Equiper/Ne pas équiper une arme/un outil.,Equiper/Ne pas équiper une arme/un outil.
0xfb6,Alterner des armes/des outils préalablement équipés.,Alterner des armes/des outils préalablement équipés.
0xfee,Nenme/Gebe die ausgewähelten Waffen/Gegenstände.,Nenme/Gebe die ausgewähelten Waffen/Gegenstände.
0x1021,"Wechsle zwischen momentaner und vohergehender|
Ausrüstung an Waffen/Gegenstände.","Wechsle zwischen momentaner und vohergehender|
Ausrüstung an Waffen/Gegenstände."
0x1074,Equipar/desactivar arma/objet seleccionada.,Equipar/desactivar arma/objet seleccionada.
0x10a0,"Cambiar entre el arma/objeto seleccionado ahora|
y el anterior.","Cambiar entre el arma/objeto seleccionado ahora|
y el anterior."
0x10e0,"Equipaggiamento/senza equipaggiamento arma/articolo|
selezionati.","Equipaggiamento/senza equipaggiamento arma/articolo|
selezionati."
0x1122,"Cambia tra corrente e precedente arma/articolo|
selezionati.","Cambia tra corrente e precedente arma/articolo|
selezionati."
0xffffffff,,
0xffffffff,,
