0x43c4,"Récupération complète de l'endurance.
","Récupération complète de l'endurance.
"
0x43ee,"Excellent stamina recovery.
","Excellent stamina recovery.
"
0x440b,"Très bonne récupération de l'endurance.
","Très bonne récupération de l'endurance.
"
0x4437,"Very good stamina recovery.
","Very good stamina recovery.
"
0x4454,"Excellente récupération de l'endurance.
","Excellente récupération de l'endurance.
"
0x447f,"Great stamina recovery.
","Great stamina recovery.
"
0x4498,"Bonne récupération de l'endurance.
","Bonne récupération de l'endurance.
"
0x44be,"Good stamina recovery.
","Good stamina recovery.
"
0x44d6,"Récupération acceptable de l'endurance.
","Récupération acceptable de l'endurance.
"
0x4501,"Decent stamina recovery.
","Decent stamina recovery.
"
0x451b,"Récupération moyenne de l'endurance.
","Récupération moyenne de l'endurance.
"
0x4543,"Moderate stamina recovery.
","Moderate stamina recovery.
"
0x455f,"Petite récupération de l'endurance.
","Petite récupération de l'endurance.
"
0x4586,"Small stamina recovery.
","Small stamina recovery.
"
0x459f,"Récupération d'endurance presque non décelable.
","Récupération d'endurance presque non décelable.
"
0x45d3,"Barely noticeable stamina recovery.
","Barely noticeable stamina recovery.
"
0x45f8,"Très légère récupération de l'endurance.
","Très légère récupération de l'endurance.
"
0x4627,"Slight stamina recovery.
","Slight stamina recovery.
"
0x4641,"Très bonne récupération de l'endurance d'EVA.
","Très bonne récupération de l'endurance d'EVA.
"
0x4673,"EVA's stamina recovery was very good.
","EVA's stamina recovery was very good.
"
0x469a,"Excellente récupération de l'endurance d'EVA.
","Excellente récupération de l'endurance d'EVA.
"
0x46cb,"EVA's stamina recovery was great.
","EVA's stamina recovery was great.
"
0x46ee,"Parfaite récupération de l'endurance d'EVA.
","Parfaite récupération de l'endurance d'EVA.
"
0x471d,"EVA's stamina recovery was excellent.
","EVA's stamina recovery was excellent.
"
0x4744,"Récupération acceptable de l'endurance d'EVA.
","Récupération acceptable de l'endurance d'EVA.
"
0x4775,"EVA's stamina recovery was decent.
","EVA's stamina recovery was decent.
"
0x4799,"Récupération moyenne de l'endurance d'EVA.
","Récupération moyenne de l'endurance d'EVA.
"
0x47c7,"EVA's stamina recovery was moderate.
","EVA's stamina recovery was moderate.
"
0x47ed,"Bonne récupération de l'endurance d'EVA.
","Bonne récupération de l'endurance d'EVA.
"
0x4819,"EVA's stamina recovery was good.
","EVA's stamina recovery was good.
"
0x483b,"Récup. d'endur. (EVA) presque non décelable.
","Récup. d'endur. (EVA) presque non décelable.
"
0x486b,"EVA's stamina recovery was barely noticeable.
","EVA's stamina recovery was barely noticeable.
"
0x489a,"Très légère récupération de l'endurance d'EVA.
","Très légère récupération de l'endurance d'EVA.
"
0x48cf,"EVA's stamina recovery was slight.
","EVA's stamina recovery was slight.
"
0x48f3,"Petite récupération de l'endurance d'EVA.
","Petite récupération de l'endurance d'EVA.
"
0x4920,"EVA's stamina recovery was small.
","EVA's stamina recovery was small.
"
0x4943,"A eu une intoxication alimentaire.
","A eu une intoxication alimentaire.
"
0x4967,"Came down with food poisoning.
","Came down with food poisoning.
"
0x4987,"Etait pourri... Commence à avoir mal au ventre.
","Etait pourri... Commence à avoir mal au ventre.
"
0x49b9,"Was rotten. Stomach starting to ache.
","Was rotten. Stomach starting to ache.
"
0x49e0,"Batterie rechargée.
","Batterie rechargée.
"
0x49f6,"Battery has recovered.
","Battery has recovered.
"
0x4a0e,"A eu sommeil.
...Commence à avoir someil.
","A eu sommeil.
...Commence à avoir someil.
"
0x4a3a,"Became sleepy.
","Became sleepy.
"
0x4a4a,"Pas faim.
","Pas faim.
"
0x4a55,"Not hungry.
","Not hungry.
"
0x4a62,"EVA a eu une intoxication alimentaire.
","EVA a eu une intoxication alimentaire.
"
0x4a8a,"EVA came down with food poisoning.
","EVA came down with food poisoning.
"
0x4aae,"Devait être pourri.
EVA semble avoir mal au ventre.
","Devait être pourri.
EVA semble avoir mal au ventre.
"
0x4ae4,"Seems to have been rotten.
EVA seems to have a stomach ache.
","Seems to have been rotten.
EVA seems to have a stomach ache.
"
0x4b22,"EVA a l'air d'avoir sommeil.
","EVA a l'air d'avoir sommeil.
"
0x4b40,"EVA looks sleepy.
","EVA looks sleepy.
"
0x4b53,"EVA ne semble pas avoir faim.
","EVA ne semble pas avoir faim.
"
0x4b72,"EVA doesn't seem to be hungry.
","EVA doesn't seem to be hungry.
"
0x4b92,"Python réticulé:
Pas encore mangé. Goût inconnu.
","Python réticulé:
Pas encore mangé. Goût inconnu.
"
0x4bc8,"Reticulated Python
Not eaten yet. Taste unknown.
","Reticulated Python
Not eaten yet. Taste unknown.
"
0x4bfa,"Python réticulé:
Pas encore mangé. Censé être assez bon.
","Python réticulé:
Pas encore mangé. Censé être assez bon.
"
0x4c39,"Reticulated Python
Not eaten yet. Said to be fairly tasty.
","Reticulated Python
Not eaten yet. Said to be fairly tasty.
"
0x4c75,"Python réticulé:
Avait assez bon goût.
","Python réticulé:
Avait assez bon goût.
"
0x4ca0,"Reticulated Python
Was fairly tasty.
","Reticulated Python
Was fairly tasty.
"
0x4cc6,"Python réticulé capturé vivant:
Pas encore mangé. Goût inconnu.
","Python réticulé capturé vivant:
Pas encore mangé. Goût inconnu.
"
0x4d0c,"Reticulated Python captured alive
Not eaten yet. Taste unknown.
","Reticulated Python captured alive
Not eaten yet. Taste unknown.
"
